"player" "position" "appearance" "goals" "year" "team"
"Divock Origi" "Forward" 1 7 "2016" "belgium"
"Thomas Vermaelen" "Defender" 9 0 "2016" "belgium"
"Jan Vertonghen" "Defender/Midfielder" 12 0 "2016" "belgium"
"Axel Witsel" "Midfielder" 13 1 "2016" "belgium"
"Toby Alderweireld" "Defender" 4 0 "2017" "belgium"
"Michy Batshuayi" "Forward" 0 2 "2017" "belgium"
"Christian Benteke" "Forward" 1 1 "2017" "belgium"
"Yannick Carrasco" "Midfielder" 4 0 "2017" "belgium"
"Nacer Chadli" "Midfielder" 0 1 "2017" "belgium"
"Laurent Ciman" "Defender" 1 1 "2017" "belgium"
"Thibaut Courtois" "Goalkeeper" 4 0 "2017" "belgium"
"Kevin De Bruyne" "Midfielder/Forward" 2 0 "2017" "belgium"
"Steven Defour" "Midfielder" 1 1 "2017" "belgium"
"Moussa Dembele" "Midfielder" 0 1 "2017" "belgium"
"Marouane Fellaini" "Midfielder" 2 0 "2017" "belgium"
"Eden Hazard" "Midfielder" 4 0 "2017" "belgium"
"Jordan Lukaku" "Midfielder" 2 0 "2017" "belgium"
"Romelu Lukaku" "Forward" 2 1 "2017" "belgium"
"Dries Mertens" "Forward" 2 0 "2017" "belgium"
"Thomas Meunier" "Forward" 4 0 "2017" "belgium"
"Kevin Mirallas" "Midfielder/Forward" 0 3 "2017" "belgium"
"Radja Nainggolan" "Midfielder" 1 1 "2017" "belgium"
"Divock Origi" "Forward" 1 0 "2017" "belgium"
"Thomas Vermaelen" "Defender" 1 0 "2017" "belgium"
"Jan Vertonghen" "Defender/Midfielder" 4 0 "2017" "belgium"
"Axel Witsel" "Midfielder" 4 0 "2017" "belgium"
"Carmelo Algaranaz Anez" "Forward" 1 1 "2016" "bolivia"
"Gilbert Alvarez" "Forward" 0 1 "2016" "bolivia"
"Juan Carlos Arce" "Forward" 7 1 "2016" "bolivia"
"Jaime Arrascaita" "Midfielder" 0 2 "2016" "bolivia"
"Pedro Azogue" "Midfielder" 2 1 "2016" "bolivia"
"Danny Bejarano" "Midfielder" 3 0 "2016" "bolivia"
"Marvin Bejarano" "Defender" 4 2 "2016" "bolivia"
"Diego Bejarano Ibanez" "Midfielder" 4 1 "2016" "bolivia"
"Abraham Cabrera" "Defender" 0 1 "2016" "bolivia"
"Nelson Cabrera" "Defender" 3 0 "2016" "bolivia"
"Jhasmani Campos" "Midfielder" 6 2 "2016" "bolivia"
"Rudy Cardozo" "Midfielder" 3 1 "2016" "bolivia"
"Raul Castro" "Midfielder" 2 1 "2016" "bolivia"
"Alejandro Chumacero" "Midfielder" 5 1 "2016" "bolivia"
"Oscar Diaz" "Forward" 0 1 "2016" "bolivia"
"Yasmani Duk" "Forward" 7 3 "2016" "bolivia"
"Ronald Eguino" "Defender" 7 2 "2016" "bolivia"
"Jorge Flores" "Defender" 2 0 "2016" "bolivia"
"Samuel Galindo" "Midfielder" 1 1 "2016" "bolivia"
"Luis Gutierrez" "Defender" 4 0 "2016" "bolivia"
"Miguel Hurtado" "Midfielder" 1 0 "2016" "bolivia"
"Carlos Emilio Lampe" "Goalkeeper" 4 0 "2016" "bolivia"
"Damian Lizio" "Midfielder" 2 3 "2016" "bolivia"
"Cristhian Machado" "Midfielder" 0 1 "2016" "bolivia"
"Fernando Marteli" "Defender" 5 0 "2016" "bolivia"
"Alejandro Melean" "Midfielder" 4 2 "2016" "bolivia"
"Bruno Miranda" "Forward" 0 1 "2016" "bolivia"
"Leonel Morales" "Defender" 3 0 "2016" "bolivia"
"Marcelo Moreno" "Forward" 1 0 "2016" "bolivia"
"Romel Quinonez" "Goalkeeper" 1 0 "2016" "bolivia"
"Ronald Raldes" "Defender" 1 0 "2016" "bolivia"
"Rodrigo Ramallo" "Forward" 3 4 "2016" "bolivia"
"Gabriel Rios" "Forward" 0 1 "2016" "bolivia"
"Erwin Saavedra" "Midfielder" 4 1 "2016" "bolivia"
"Fernando Saucedo" "Midfielder" 2 1 "2016" "bolivia"
"Martin Smedberg-Dalence" "Defender" 6 0 "2016" "bolivia"
"Jair Torrico" "Defender" 1 0 "2016" "bolivia"
"Daniel Vaca" "Goalkeeper" 5 0 "2016" "bolivia"
