"player" "position" "appearance" "goals" "year" "team"
"Toni Sunjic" "Defender" 7 1 "2016" "bosnia-and-herzegovina"
"Mateo Susic" "Defender" 1 0 "2016" "bosnia-and-herzegovina"
"Tino-Sven Susic" "Midfielder" 0 3 "2016" "bosnia-and-herzegovina"
"Edin Visca" "Midfielder" 8 0 "2016" "bosnia-and-herzegovina"
"Mario Vrancic" "Midfielder" 2 2 "2016" "bosnia-and-herzegovina"
"Ognjen Vranjes" "Defender" 6 1 "2016" "bosnia-and-herzegovina"
"Ermin Zec" "Forward" 1 0 "2016" "bosnia-and-herzegovina"
"Ervin Zukanovic" "Defender" 7 0 "2016" "bosnia-and-herzegovina"
"Asmir Begovic" "Goalkeeper" 3 0 "2017" "bosnia-and-herzegovina"
"Ermin Bicakcic" "Defender" 1 1 "2017" "bosnia-and-herzegovina"
"Gojko Cimirot" "Midfielder" 0 1 "2017" "bosnia-and-herzegovina"
"Milan Duric" "Forward" 1 2 "2017" "bosnia-and-herzegovina"
"Edin Dzeko" "Forward" 3 0 "2017" "bosnia-and-herzegovina"
"Izet Hajrovic" "Midfielder" 0 1 "2017" "bosnia-and-herzegovina"
"Vedad Ibisevic" "Forward" 2 1 "2017" "bosnia-and-herzegovina"
"Mato Jajalo" "Midfielder" 1 0 "2017" "bosnia-and-herzegovina"
"Sead Kolasinac" "Defender/Midfielder" 3 0 "2017" "bosnia-and-herzegovina"
"Senad Lulic" "Midfielder" 3 0 "2017" "bosnia-and-herzegovina"
"Haris Medunjanin" "Midfielder" 3 0 "2017" "bosnia-and-herzegovina"
"Danijel Milicevic" "Midfielder" 0 1 "2017" "bosnia-and-herzegovina"
"Miralem Pjanic" "Midfielder" 3 0 "2017" "bosnia-and-herzegovina"
"Emir Spahic" "Defender" 3 0 "2017" "bosnia-and-herzegovina"
"Toni Sunjic" "Defender" 1 0 "2017" "bosnia-and-herzegovina"
"Tino-Sven Susic" "Midfielder" 0 1 "2017" "bosnia-and-herzegovina"
"Edin Visca" "Midfielder" 2 1 "2017" "bosnia-and-herzegovina"
"Ognjen Vranjes" "Defender" 2 0 "2017" "bosnia-and-herzegovina"
"Ervin Zukanovic" "Defender" 2 0 "2017" "bosnia-and-herzegovina"
"Alisson" "Goalkeeper" 9 0 "2016" "brazil"
"Rodrigo Caio" "Defender" 0 1 "2016" "brazil"
"Casemiro" "Midfielder" 2 0 "2016" "brazil"
"Philippe Coutinho" "Midfielder" 4 2 "2016" "brazil"
"Dani Alves" "Defender" 10 0 "2016" "brazil"
"Danilo" "Defender" 1 0 "2016" "brazil"
"David Luiz" "Defender/Midfielder" 5 0 "2016" "brazil"
"Douglas Costa" "Midfielder" 7 1 "2016" "brazil"
"Douglas Santos" "Defender" 1 0 "2016" "brazil"
"Elias" "Midfielder" 9 1 "2016" "brazil"
"Fabinho" "Defender" 1 1 "2016" "brazil"
"Fernandinho" "Midfielder" 3 2 "2016" "brazil"
"Filipe Luis" "Defender" 8 0 "2016" "brazil"
"Roberto Firmino" "Midfielder" 0 1 "2016" "brazil"
"Gabriel" "Forward" 1 3 "2016" "brazil"
"Gil" "Defender" 6 1 "2016" "brazil"
"Marcelo Grohe" "Goalkeeper" 2 0 "2016" "brazil"
"Hulk" "Forward" 3 4 "2016" "brazil"
"Jefferson" "Goalkeeper" 1 0 "2016" "brazil"
"Jonas" "Forward" 3 1 "2016" "brazil"
"Kaka" "Midfielder" 0 3 "2016" "brazil"
"Lucas Lima" "Midfielder" 4 8 "2016" "brazil"
"Lucas Moura" "Midfielder" 0 3 "2016" "brazil"
"Luiz Gustavo" "Defender" 9 0 "2016" "brazil"
"Marcelo" "Defender/Midfielder" 3 0 "2016" "brazil"
"Marquinhos" "Defender" 3 2 "2016" "brazil"
"Miranda" "Defender" 10 0 "2016" "brazil"
"Neymar" "Forward" 3 2 "2016" "brazil"
"Ricardo Oliveira" "Forward" 3 3 "2016" "brazil"
"Oscar" "Midfielder" 2 1 "2016" "brazil"
"Rafinha" "Midfielder" 0 2 "2016" "brazil"
"Renato Augusto" "Midfielder" 7 1 "2016" "brazil"
"Willian" "Midfielder" 12 0 "2016" "brazil"
"Alisson" "Goalkeeper" 4 0 "2017" "brazil"
"Casemiro" "Midfielder" 2 0 "2017" "brazil"
"Philippe Coutinho" "Midfielder" 2 2 "2017" "brazil"
"Dani Alves" "Defender" 4 0 "2017" "brazil"
"Fernandinho" "Midfielder" 2 0 "2017" "brazil"
"Filipe Luis" "Defender" 2 0 "2017" "brazil"
"Roberto Firmino" "Midfielder" 0 1 "2017" "brazil"
"Gabriel Jesus" "Forward" 4 0 "2017" "brazil"
"Giuliano" "Midfielder" 1 2 "2017" "brazil"
"Lucas Lima" "Midfielder" 0 1 "2017" "brazil"
"Marcelo" "Defender/Midfielder" 2 0 "2017" "brazil"
"Marquinhos" "Defender" 4 0 "2017" "brazil"
"Miranda" "Defender" 4 0 "2017" "brazil"
"Neymar" "Forward" 3 0 "2017" "brazil"
"Paulinho" "Midfielder" 3 0 "2017" "brazil"
"Renato Augusto" "Midfielder" 4 0 "2017" "brazil"
"Taison" "Forward" 0 2 "2017" "brazil"
"Willian" "Midfielder" 3 1 "2017" "brazil"
"Alexandar Aleksandrov" "Defender" 7 0 "2016" "bulgaria"
"Mihail Aleksandrov" "Midfielder/Forward" 4 3 "2016" "bulgaria"
"Ivan Bandalovski" "Midfielder" 1 1 "2016" "bulgaria"
"Nikolay Bodurov" "Defender" 4 0 "2016" "bulgaria"
"Vasil Bozhikov" "Defender" 1 0 "2016" "bulgaria"
"Gerogi Bozhilov" "Midfielder" 1 1 "2016" "bulgaria"
"Ivaylo Chochev" "Midfielder" 6 0 "2016" "bulgaria"
"Bozhidar Chorbadzhiyski" "Defender" 1 0 "2016" "bulgaria"
"Spas Delev" "Forward" 0 3 "2016" "bulgaria"
"Svetoslav Dyakov" "Midfielder" 7 0 "2016" "bulgaria"
"Ventsislav Hristov" "Forward" 0 3 "2016" "bulgaria"
"Plamen Iliev" "Goalkeeper" 1 0 "2016" "bulgaria"
"Galin Ivanov" "Midfielder" 1 1 "2016" "bulgaria"
"Ivo Ivanov" "Defender" 2 3 "2016" "bulgaria"
"Blagoy Makendzhiev" "Goalkeeper" 1 0 "2016" "bulgaria"
"Marcelinho" "Midfielder" 4 0 "2016" "bulgaria"
"Georgi Milanov" "Midfielder" 4 2 "2016" "bulgaria"
"Zhivko Milanov" "Defender" 5 0 "2016" "bulgaria"
"Veselin Minev" "Defender" 2 0 "2016" "bulgaria"
"Yordan Minev" "Defender" 6 0 "2016" "bulgaria"
"Bozhidar Mitrev" "Goalkeeper" 7 0 "2016" "bulgaria"
"Iliyan Mitsanski" "Forward" 2 0 "2016" "bulgaria"
"Todor Nedelev" "Midfielder" 2 2 "2016" "bulgaria"
"Ivelin Popov" "Midfielder/Forward" 8 0 "2016" "bulgaria"
"Strahil Popov" "Defender" 4 1 "2016" "bulgaria"
"Dimitar Rangelov" "Forward" 6 2 "2016" "bulgaria"
"Simeon Slavchev" "Midfielder" 2 2 "2016" "bulgaria"
"Vladislav Stoyanov" "Goalkeeper" 1 0 "2016" "bulgaria"
"Georgi Terziev" "Defender" 4 1 "2016" "bulgaria"
"Alexander Tonev" "Midfielder/Forward" 1 3 "2016" "bulgaria"
"Ventseslav Vasilev" "Defender" 1 1 "2016" "bulgaria"
"Stefan Velev" "Midfielder" 0 2 "2016" "bulgaria"
"Hristo Zlatinski" "Midfielder" 2 0 "2016" "bulgaria"
"Alexandar Aleksandrov" "Defender" 2 0 "2017" "bulgaria"
"Mihail Aleksandrov" "Midfielder/Forward" 2 1 "2017" "bulgaria"
"Vasil Bozhikov" "Defender" 1 0 "2017" "bulgaria"
"Gerogi Bozhilov" "Midfielder" 0 1 "2017" "bulgaria"
"Ivaylo Chochev" "Midfielder" 1 1 "2017" "bulgaria"
"Bozhidar Chorbadzhiyski" "Defender" 1 0 "2017" "bulgaria"
"Svetoslav Dyakov" "Midfielder" 3 0 "2017" "bulgaria"
"Ivan Ivanov" "Midfielder" 1 0 "2017" "bulgaria"
"Georgi Kostadinov" "Midfielder" 2 0 "2017" "bulgaria"
"Kristiyan Malinov" "Midfielder" 1 0 "2017" "bulgaria"
"Marcelinho" "Midfielder" 2 1 "2017" "bulgaria"
"Georgi Milanov" "Midfielder" 2 0 "2017" "bulgaria"
"Zhivko Milanov" "Defender" 1 0 "2017" "bulgaria"
"Todor Nedelev" "Midfielder" 0 1 "2017" "bulgaria"
"Anton Nedyalkov" "Defender" 2 0 "2017" "bulgaria"
"Dimitar Pirgov" "Defender" 1 0 "2017" "bulgaria"
"Ivelin Popov" "Midfielder/Forward" 3 0 "2017" "bulgaria"
"Strahil Popov" "Defender" 3 0 "2017" "bulgaria"
"Dimitar Rangelov" "Forward" 1 1 "2017" "bulgaria"
"Martin Raynov" "Midfielder" 0 1 "2017" "bulgaria"
"Simeon Slavchev" "Midfielder" 1 0 "2017" "bulgaria"
"Vladislav Stoyanov" "Goalkeeper" 3 0 "2017" "bulgaria"
"Alexander Tonev" "Midfielder/Forward" 0 2 "2017" "bulgaria"
"Anatole Abang" "Forward" 1 3 "2016" "cameroon"
"Vincent Aboubakar" "Forward" 6 0 "2016" "cameroon"
"Jean Patrick Abouna" "Defender/Left Back" 0 1 "2016" "cameroon"
"Henri Bedimo" "Midfielder" 6 0 "2016" "cameroon"
"Christian Bekamenga" "Forward" 1 0 "2016" "cameroon"
"Aurelien Chedjou" "Defender/Midfielder" 6 0 "2016" "cameroon"
"Maxim  Choupo-Moting" "Forward" 3 2 "2016" "cameroon"
"Muhammed Djetei" "Defender" 0 1 "2016" "cameroon"
"Eyong Enoh" "Midfielder" 3 0 "2016" "cameroon"
"Franck Etoundi" "Midfielder" 1 0 "2016" "cameroon"
"Carlos Kameni" "Goalkeeper" 2 0 "2016" "cameroon"
"Franck Kom" "Midfielder" 0 4 "2016" "cameroon"
"Leonard Kweuke" "Forward" 0 2 "2016" "cameroon"
"Stephane M'bia" "Defender/Midfielder" 4 0 "2016" "cameroon"
"Georges Mandjeck" "Midfielder" 2 0 "2016" "cameroon"
"Joel Matip" "Defender/Midfielder" 1 0 "2016" "cameroon"
"Marvin Matip-Job" "Defender" 1 1 "2016" "cameroon"
"Benjamin Moukandjo" "Forward" 1 1 "2016" "cameroon"
"Guy N'Dy Assembe" "Goalkeeper" 1 0 "2016" "cameroon"
"Clinton N'Jie" "Forward" 2 1 "2016" "cameroon"
"Nicolas N'Koulou" "Defender" 4 0 "2016" "cameroon"
"Daniel Ndi" "Forward" 1 0 "2016" "cameroon"
"Allan Nyom" "Defender" 3 0 "2016" "cameroon"
"Joseph Ondoa" "Goalkeeper" 4 0 "2016" "cameroon"
"Aboubaker Oumarou" "Forward" 0 1 "2016" "cameroon"
"Ambroise Oyongo" "Defender" 5 0 "2016" "cameroon"
"Edgar Salli" "Midfielder" 7 0 "2016" "cameroon"
"Sebastien Siani" "Midfielder" 5 1 "2016" "cameroon"
"Adolphe Teikeu Kamgang" "Forward" 3 0 "2016" "cameroon"
"Karl Toko Ekambi" "Forward" 2 0 "2016" "cameroon"
"Jacques Zoua" "Forward" 3 1 "2016" "cameroon"
"Vincent Aboubakar" "Forward" 1 0 "2017" "cameroon"
"Aurelien Chedjou" "Defender/Midfielder" 1 0 "2017" "cameroon"
"Collins Fai" "Defender" 1 0 "2017" "cameroon"
"Benjamin Moukandjo" "Forward" 2 0 "2017" "cameroon"
"Nicolas N'Koulou" "Defender" 1 0 "2017" "cameroon"
"Daniel Ndi" "Forward" 0 1 "2017" "cameroon"
"Michael Ngadeu Ngadjui" "Defender" 2 0 "2017" "cameroon"
"Allan Nyom" "Defender" 1 0 "2017" "cameroon"
"Joseph Ondoa" "Goalkeeper" 2 0 "2017" "cameroon"
"Ambroise Oyongo" "Defender" 2 0 "2017" "cameroon"
"Edgar Salli" "Midfielder" 2 0 "2017" "cameroon"
"Sebastien Siani" "Midfielder" 1 1 "2017" "cameroon"
"Arnaud Sutchuin-Djoum" "Midfielder" 2 0 "2017" "cameroon"
"Robert Tambe" "Forward" 1 0 "2017" "cameroon"
"Adolphe Teikeu Kamgang" "Forward" 1 0 "2017" "cameroon"
"Karl Toko Ekambi" "Forward" 2 0 "2017" "cameroon"
"Sam Adekugbe" "Defender" 0 3 "2016" "canada"
"Frasier Aird" "Midfielder" 0 1 "2016" "canada"
"Tesho Akindele" "Forward" 3 5 "2016" "canada"
"Scott Arfield" "Midfielder" 2 1 "2016" "canada"
"Kyle Bekker" "Midfielder" 0 1 "2016" "canada"
"Milan Borjan" "Goalkeeper" 5 0 "2016" "canada"
"Marco Bustos" "Midfielder" 0 1 "2016" "canada"
"Lucas Daniel Cavallini" "Forward" 0 1 "2016" "canada"
"Maxime Crepeau" "Goalkeeper" 1 0 "2016" "canada"
"Julian de Guzman" "Midfielder" 6 1 "2016" "canada"
"Marcel de Jong" "Midfielder" 9 0 "2016" "canada"
"Jamar Dixon" "Midfielder" 0 1 "2016" "canada"
"David Edgar" "Defender" 4 1 "2016" "canada"
"Kianz Gonzalez-Froese" "Midfielder" 2 0 "2016" "canada"
"Marcus Haber" "Forward" 1 4 "2016" "canada"
"Andre Hainault" "Defender" 1 0 "2016" "canada"
"Doneil Henry" "Defender" 4 1 "2016" "canada"
"Junior Hoilett" "Midfielder/Forward" 6 1 "2016" "canada"
"Iain Hume" "Forward" 0 2 "2016" "canada"
"Atiba Hutchinson" "Midfielder" 6 0 "2016" "canada"
"Simeon Jackson" "Forward" 0 3 "2016" "canada"
"Dejan Jakovic" "Defender" 6 0 "2016" "canada"
"Manjrekar James" "Defender" 2 0 "2016" "canada"
"Will Johnson" "Forward" 7 0 "2016" "canada"
"Cyle Larin" "Forward" 8 0 "2016" "canada"
"Nikolas Ledgerwood" "Defender" 4 0 "2016" "canada"
"Wandrille Lefevre" "Defender" 2 0 "2016" "canada"
"Issey Nakajima-Farran" "Midfielder" 2 1 "2016" "canada"
"Karl Ouimette" "Defender" 3 2 "2016" "canada"
"Michael Petrasso" "Midfielder" 1 1 "2016" "canada"
"Samuel Piette" "Midfielder" 2 6 "2016" "canada"
"Tosaint Ricketts" "Midfielder" 8 0 "2016" "canada"
"Kenny Stamatopoulos" "Goalkeeper" 3 1 "2016" "canada"
"Adam Straith" "Defender" 8 0 "2016" "canada"
"Russell Teibert" "Midfielder" 0 1 "2016" "canada"
"Simon Thomas" "Goalkeeper" 1 0 "2016" "canada"
"Maxim Tissot" "Defender" 0 1 "2016" "canada"
"Charlie Trafford" "Midfielder" 1 0 "2016" "canada"
"Steven Vitoria" "Defender" 2 1 "2016" "canada"
"Frasier Aird" "Midfielder" 1 0 "2017" "canada"
"Tesho Akindele" "Forward" 1 0 "2017" "canada"
"Scott Arfield" "Midfielder" 3 0 "2017" "canada"
"Milan Borjan" "Goalkeeper" 3 0 "2017" "canada"
"Marco Bustos" "Midfielder" 0 1 "2017" "canada"
"Marcel de Jong" "Midfielder" 3 0 "2017" "canada"
"Jamar Dixon" "Midfielder" 1 0 "2017" "canada"
"David Edgar" "Defender" 2 1 "2017" "canada"
"Marcus Haber" "Forward" 2 1 "2017" "canada"
"Doneil Henry" "Defender" 3 0 "2017" "canada"
"Junior Hoilett" "Midfielder/Forward" 3 0 "2017" "canada"
"Atiba Hutchinson" "Midfielder" 2 0 "2017" "canada"
"Simeon Jackson" "Forward" 1 0 "2017" "canada"
"Anthony Jackson Hamel" "Forward" 0 1 "2017" "canada"
"Dejan Jakovic" "Defender" 1 0 "2017" "canada"
"Manjrekar James" "Defender" 3 0 "2017" "canada"
"Cyle Larin" "Forward" 2 0 "2017" "canada"
"Nikolas Ledgerwood" "Defender" 1 1 "2017" "canada"
"Jonathan Osorio" "Midfielder" 2 0 "2017" "canada"
"Samuel Piette" "Midfielder" 1 1 "2017" "canada"
"Tosaint Ricketts" "Midfielder" 3 1 "2017" "canada"
"Adam Straith" "Defender" 3 1 "2017" "canada"
"Simon Thomas" "Goalkeeper" 1 1 "2017" "canada"
"Maxim Tissot" "Defender" 1 1 "2017" "canada"
"Steven Vitoria" "Defender" 1 0 "2017" "canada"
"HUANG Bowen" "Midfielder" 3 3 "2016" "china-pr"
"ZENG Cheng" "Goalkeeper" 3 0 "2016" "china-pr"
"ZHANG Chengdong" "Forward" 2 2 "2016" "china-pr"
"YU Dabao" "Forward" 5 2 "2016" "china-pr"
"WANG Dalei" "Goalkeeper" 6 0 "2016" "china-pr"
"MEI Fang" "Defender" 5 0 "2016" "china-pr"
"YU Hai" "Midfielder" 3 3 "2016" "china-pr"
"DING Haifeng" "Defender" 1 0 "2016" "china-pr"
"YU Han Chao" "Midfielder" 4 2 "2016" "china-pr"
"REN Hang" "Defender" 7 0 "2016" "china-pr"
"RONG Hao" "Midfielder" 1 0 "2016" "china-pr"
"CAI Huikang" "Midfielder" 2 1 "2016" "china-pr"
"LIU Jian Ye" "Midfielder" 0 1 "2016" "china-pr"
"BI Jin Hao" "Forward" 0 1 "2016" "china-pr"
"YAN Junling" "Goalkeeper" 0 1 "2016" "china-pr"
"HAO Junmin" "Midfielder" 3 1 "2016" "china-pr"
"SUN Ke" "Midfielder" 0 2 "2016" "china-pr"
"WU Lei" "Midfielder" 5 1 "2016" "china-pr"
"GAO Lin" "Forward" 1 1 "2016" "china-pr"
"ZHANG Linpeng" "Defender" 7 0 "2016" "china-pr"
"ZHENG Long" "Midfielder" 3 0 "2016" "china-pr"
"ZHAO Mingjian" "Midfielder" 4 0 "2016" "china-pr"
"JIANG Ning" "Forward" 3 1 "2016" "china-pr"
"HU Ren Tian" "Midfielder" 0 1 "2016" "china-pr"
"WU Xi" "Defender" 7 1 "2016" "china-pr"
"JI Xiang" "Defender" 1 0 "2016" "china-pr"
"FENG Xiaoting" "Defender" 5 0 "2016" "china-pr"
"ZHANG Xizhe" "Midfielder" 1 1 "2016" "china-pr"
"YANG Xu" "Forward" 5 2 "2016" "china-pr"
"LI Xuepeng" "Midfielder" 3 0 "2016" "china-pr"
"WANG Yong Po" "Midfielder" 0 4 "2016" "china-pr"
"ZHANG Yu Ning" "Midfielder/Forward" 1 0 "2016" "china-pr"
"ZOU Zheng" "Midfielder" 3 0 "2016" "china-pr"
"ZHENG Zhi" "Defender/Midfielder" 4 0 "2016" "china-pr"
"JIANG Zhipeng" "Midfielder" 1 0 "2016" "china-pr"
"HUANG Bowen" "Midfielder" 3 1 "2017" "china-pr"
"Gu Chao" "Goalkeeper" 1 1 "2017" "china-pr"
"ZENG Cheng" "Goalkeeper" 2 0 "2017" "china-pr"
"ZHANG Chengdong" "Forward" 1 0 "2017" "china-pr"
"YU Hai" "Midfielder" 3 0 "2017" "china-pr"
"REN Hang" "Defender" 4 0 "2017" "china-pr"
"CAI Huikang" "Midfielder" 1 0 "2017" "china-pr"
"HAO Junmin" "Midfielder" 3 1 "2017" "china-pr"
"SUN Ke" "Midfielder" 2 1 "2017" "china-pr"
"WU Lei" "Midfielder" 3 1 "2017" "china-pr"
"GAO Lin" "Forward" 1 1 "2017" "china-pr"
"ZHANG Linpeng" "Defender" 3 0 "2017" "china-pr"
"ZHAO Mingjian" "Midfielder" 3 1 "2017" "china-pr"
"JIANG Ning" "Forward" 1 0 "2017" "china-pr"
"DU Wei" "Defender" 1 0 "2017" "china-pr"
"WU Xi" "Defender" 1 0 "2017" "china-pr"
"FENG Xiaoting" "Defender" 4 0 "2017" "china-pr"
"ZHANG Xizhe" "Midfielder" 1 1 "2017" "china-pr"
"YANG Xu" "Forward" 0 1 "2017" "china-pr"
"LI Xuepeng" "Midfielder" 2 0 "2017" "china-pr"
"ZHANG Yu Ning" "Midfielder/Forward" 2 1 "2017" "china-pr"
"YANG Zhi" "Goalkeeper" 1 0 "2017" "china-pr"
"ZHENG Zhi" "Defender/Midfielder" 1 0 "2017" "china-pr"
"JIANG Zhipeng" "Midfielder" 0 2 "2017" "china-pr"
"Felipe Aguilar" "Defender" 1 1 "2016" "colombia"
"Eder Alvarez Balanta" "Defender" 0 1 "2016" "colombia"
"Santiago Arias" "Defender" 11 0 "2016" "colombia"
"Carlos Bacca" "Forward" 11 2 "2016" "colombia"
"Kevin Balanta" "Defender" 0 1 "2016" "colombia"
"Edwin Cardona" "Midfielder" 8 5 "2016" "colombia"
"Fabian Castillo" "Forward" 0 3 "2016" "colombia"
"Guillermo Celis" "Midfielder" 3 3 "2016" "colombia"
"Juan Cuadrado" "Midfielder" 10 1 "2016" "colombia"
"Gustavo Cuellar" "Midfielder" 1 1 "2016" "colombia"
"Farid Diaz" "Defender" 6 0 "2016" "colombia"
"Frank Fabra" "Defender" 8 2 "2016" "colombia"
"Radamel Falcao" "Forward" 0 2 "2016" "colombia"
"Felipe Pardo" "Forward" 0 1 "2016" "colombia"
"Fredy Guarin" "Midfielder" 2 0 "2016" "colombia"
"Teofilo Gutierrez" "Forward" 4 0 "2016" "colombia"
"Jackson Martinez" "Forward" 1 1 "2016" "colombia"
"Roger Martinez" "Forward" 2 2 "2016" "colombia"
"Stefan Medina" "Defender" 2 1 "2016" "colombia"
"Alexander Mejia" "Midfielder" 2 1 "2016" "colombia"
"Yerry Mina" "Defender" 1 1 "2016" "colombia"
"Dayro Moreno" "Forward" 2 2 "2016" "colombia"
"Marlos Moreno" "Midfielder/Forward" 2 5 "2016" "colombia"
"Luis Muriel" "Forward" 1 2 "2016" "colombia"
"Jeison Murillo" "Defender" 12 0 "2016" "colombia"
"Oscar Murillo" "Defender" 2 0 "2016" "colombia"
"David Ospina" "Goalkeeper" 13 0 "2016" "colombia"
"Helibelton Palacios" "Defender" 1 0 "2016" "colombia"
"Sebastian Perez" "Midfielder" 6 2 "2016" "colombia"
"Adrian Ramos" "Forward" 0 2 "2016" "colombia"
"Andres Roa" "Midfielder" 0 2 "2016" "colombia"
"James Rodriguez" "Forward" 10 1 "2016" "colombia"
"Carlos Sanchez" "Midfielder" 7 2 "2016" "colombia"
"Daniel Torres" "Midfielder" 9 0 "2016" "colombia"
"Macnelly Torres" "Midfielder" 3 1 "2016" "colombia"
"Cristian Zapata" "Defender" 12 0 "2016" "colombia"
"Robinson Zapata Montano" "Goalkeeper" 1 0 "2016" "colombia"
"Felipe Aguilar" "Defender" 2 0 "2017" "colombia"
"Santiago Arias" "Defender" 2 0 "2017" "colombia"
"Carlos Bacca" "Forward" 4 0 "2017" "colombia"
"Wilmar Barrios" "Defender" 2 0 "2017" "colombia"
"Orlando Berrio" "Forward" 0 2 "2017" "colombia"
"Edwin Cardona" "Midfielder" 0 3 "2017" "colombia"
"Juan Cuadrado" "Midfielder" 2 2 "2017" "colombia"
"Farid Diaz" "Defender" 4 0 "2017" "colombia"
"Roger Martinez" "Forward" 0 3 "2017" "colombia"
"Stefan Medina" "Defender" 2 0 "2017" "colombia"
"Alexander Mejia" "Midfielder" 0 1 "2017" "colombia"
"Yerry Mina" "Defender" 2 0 "2017" "colombia"
"Dayro Moreno" "Forward" 0 1 "2017" "colombia"
"Luis Muriel" "Forward" 4 0 "2017" "colombia"
"Jeison Murillo" "Defender" 2 0 "2017" "colombia"
"Oscar Murillo" "Defender" 4 0 "2017" "colombia"
"David Ospina" "Goalkeeper" 4 0 "2017" "colombia"
"James Rodriguez" "Forward" 2 0 "2017" "colombia"
"Carlos Sanchez" "Midfielder" 4 0 "2017" "colombia"
"Daniel Torres" "Midfielder" 1 0 "2017" "colombia"
"Macnelly Torres" "Midfielder" 3 0 "2017" "colombia"
"Bismar Acosta" "Defender" 1 0 "2016" "costa-rica"
"Johnny Acosta" "Defender" 12 0 "2016" "costa-rica"
"Esteban Alvarado" "Goalkeeper" 1 0 "2016" "costa-rica"
"Junior Alvarado Ramírez" "Defender" 1 0 "2016" "costa-rica"
"Randall Azofeifa Corrales" "Midfielder" 4 3 "2016" "costa-rica"
"Michael Barrantes Rojas" "Midfielder" 1 0 "2016" "costa-rica"
"Cristian Bolanos Navarro" "Midfielder" 3 3 "2016" "costa-rica"
"Celso Borges" "Midfielder" 10 0 "2016" "costa-rica"
"Francisco Calvo" "Defender" 2 2 "2016" "costa-rica"
"Joel Campbell" "Forward" 9 2 "2016" "costa-rica"
"Julio Cascante" "Defender" 0 1 "2016" "costa-rica"
"Daniel Colindres Solera" "Forward" 1 2 "2016" "costa-rica"
"Kenny Cunningham" "Forward" 0 1 "2016" "costa-rica"
"Junior Diaz" "Defender" 0 3 "2016" "costa-rica"
"Oscar Duarte" "Defender" 8 1 "2016" "costa-rica"
"Francisco Flores" "Midfielder" 0 1 "2016" "costa-rica"
"Waylon Francis" "Defender" 2 1 "2016" "costa-rica"
"Cristian Gamboa" "Defender/Midfielder" 10 0 "2016" "costa-rica"
"Mayron George" "Forward" 0 1 "2016" "costa-rica"
"Giancarlo Gonzalez" "Defender" 5 0 "2016" "costa-rica"
"Oscar Granados" "Midfielder" 1 1 "2016" "costa-rica"
"David Guzman" "Midfielder" 1 2 "2016" "costa-rica"
"Irvin Huertas Cruz" "Forward" 0 1 "2016" "costa-rica"
"Marco Madrigal" "Goalkeeper" 2 0 "2016" "costa-rica"
"Josue Martinez" "Forward" 1 0 "2016" "costa-rica"
"Ronald Matarrita" "Midfielder" 10 1 "2016" "costa-rica"
"Jose Mena" "Defender" 2 0 "2016" "costa-rica"
"Roy Miller" "Defender/Midfielder" 1 0 "2016" "costa-rica"
"Allan Miranda Albertazzi" "Midfielder" 1 0 "2016" "costa-rica"
"Mauricio Montero" "Midfielder" 0 1 "2016" "costa-rica"
"Leonel Moreira Ledezma" "Goalkeeper" 0 1 "2016" "costa-rica"
"David Myrie" "Defender" 0 3 "2016" "costa-rica"
"Keylor Navas" "Goalkeeper" 3 0 "2016" "costa-rica"
"Bryan Oviedo" "Defender/Midfielder" 1 1 "2016" "costa-rica"
"Patrick Pemberton" "Goalkeeper" 7 0 "2016" "costa-rica"
"David Ramirez" "Forward" 1 0 "2016" "costa-rica"
"Ariel Rodriguez" "Forward" 0 1 "2016" "costa-rica"
"Eithel Ariel Rodriguez" "Midfielder" 0 1 "2016" "costa-rica"
"Bryan Ruiz" "Midfielder/Forward" 10 0 "2016" "costa-rica"
"Alvaro Saborio" "Forward" 2 4 "2016" "costa-rica"
"Jose Salvatierra" "Defender" 1 1 "2016" "costa-rica"
"Jose Sanchez" "Midfielder" 0 1 "2016" "costa-rica"
"Jonathan Sibaja Sandoval" "Midfielder" 1 0 "2016" "costa-rica"
"Jordy Smith" "Defender" 1 1 "2016" "costa-rica"
"Yeltsin Tejeda" "Midfielder" 4 2 "2016" "costa-rica"
"Marco Urena" "Forward" 7 2 "2016" "costa-rica"
"Luis Valle" "Midfielder" 0 1 "2016" "costa-rica"
"Deyver Vega" "Midfielder" 0 1 "2016" "costa-rica"
"Johan Venegas" "Forward" 6 3 "2016" "costa-rica"
"Rodney Wallace" "Midfielder" 1 0 "2016" "costa-rica"
"Kendall Waston" "Defender" 9 0 "2016" "costa-rica"
"Johnny Acosta" "Defender" 2 0 "2017" "costa-rica"
"Esteban Alvarado" "Goalkeeper" 1 0 "2017" "costa-rica"
"Randall Azofeifa Corrales" "Midfielder" 3 0 "2017" "costa-rica"
"Cristian Bolanos Navarro" "Midfielder" 2 0 "2017" "costa-rica"
"Celso Borges" "Midfielder" 3 0 "2017" "costa-rica"
"Francisco Calvo" "Defender" 2 0 "2017" "costa-rica"
"Joel Campbell" "Forward" 1 2 "2017" "costa-rica"
"Oscar Duarte" "Defender" 2 0 "2017" "costa-rica"
"Cristian Gamboa" "Defender/Midfielder" 1 0 "2017" "costa-rica"
"Giancarlo Gonzalez" "Defender" 2 0 "2017" "costa-rica"
"David Guzman" "Midfielder" 0 3 "2017" "costa-rica"
"Ronald Matarrita" "Midfielder" 2 1 "2017" "costa-rica"
