252,Tesho ,Akindele,Forward ,13,Canada
253,Scott ,Arfield,Midfielder,13,Canada
254,Milan ,Borjan,Goalkeeper,13,Canada
255,Marco ,Bustos,Midfielder,13,Canada
256,Marcel ,de Jong,Midfielder,13,Canada
257,Jamar ,Dixon,Midfielder,13,Canada
258,David ,Edgar,Defender,13,Canada
259,Marcus ,Haber,Forward,13,Canada
260,Doneil ,Henry,Defender,13,Canada
261,Junior ,Hoilett,Midfielder/Forward,13,Canada
262,Atiba ,Hutchinson,Midfielder,13,Canada
263,Simeon ,Jackson,Forward,13,Canada
264,Anthony ,Jackson Hamel,Forward,13,Canada
265,Dejan ,Jakovic,Defender,13,Canada
266,Manjrekar ,James,Defender,13,Canada
267,Cyle ,Larin,Forward,13,Canada
268,Nikolas ,Ledgerwood,Defender,13,Canada
269,Jonathan ,Osorio,Midfielder,13,Canada
270,Samuel ,Piette,Midfielder,13,Canada
271,Tosaint ,Ricketts,Midfielder,13,Canada
272,Adam ,Straith,Defender,13,Canada
273,Simon ,Thomas,Goalkeeper,13,Canada
274,Maxim ,Tissot,Defender,13,Canada
275,Steven ,Vitoria,Defender,13,Canada
276,HUANG ,Bowen,Midfielder,15,China PR
277,Gu ,Chao,Goalkeeper,15,China PR
278,ZENG ,Cheng,Goalkeeper,15,China PR
279,ZHANG ,Chengdong,Forward,15,China PR
280,YU ,Hai,Midfielder,15,China PR
281,REN ,Hang,Defender,15,China PR
282,CAI ,Huikang,Midfielder,15,China PR
283,HAO ,Junmin,Midfielder,15,China PR
284,SUN ,Ke,Midfielder,15,China PR
285,WU ,Lei,Midfielder,15,China PR
286,GAO ,Lin,Forward,15,China PR
287,ZHANG ,Linpeng,Defender,15,China PR
288,ZHAO ,Mingjian,Midfielder,15,China PR
289,JIANG ,Ning,Forward,15,China PR
290,DU ,Wei,Defender,15,China PR
291,WU ,Xi,Defender,15,China PR
292,FENG ,Xiaoting,Defender,15,China PR
293,ZHANG ,Xizhe,Midfielder,15,China PR
294,YANG ,Xu,Forward,15,China PR
295,LI ,Xuepeng,Midfielder,15,China PR
296,ZHANG ,Yu Ning,Midfielder/Forward,15,China PR
297,YANG ,Zhi,Goalkeeper,15,China PR
298,ZHENG ,Zhi,Defender/Midfielder,15,China PR
299,JIANG ,Zhipeng,Midfielder,15,China PR
300,Felipe ,Aguilar,Defender,16,Colombia
301,Santiago ,Arias,Defender,16,Colombia
302,Carlos ,Bacca,Forward,16,Colombia
303,Wilmar ,Barrios,Defender,16,Colombia
304,Orlando ,Berrio,Forward,16,Colombia
305,Edwin ,Cardona,Midfielder,16,Colombia
306,Juan ,Cuadrado,Midfielder,16,Colombia
307,Farid ,Diaz,Defender,16,Colombia
308,Roger ,Martinez,Forward,16,Colombia
309,Stefan ,Medina,Defender,16,Colombia
310,Alexander ,Mejia,Midfielder,16,Colombia
311,Yerry ,Mina,Defender,16,Colombia
312,Dayro ,Moreno,Forward,16,Colombia
313,Luis ,Muriel,Forward,16,Colombia
314,Jeison ,Murillo,Defender,16,Colombia
315,Oscar ,Murillo,Defender,16,Colombia
316,David ,Ospina,Goalkeeper,16,Colombia
317,James ,Rodriguez,Forward,16,Colombia
318,Carlos ,Sanchez,Midfielder,16,Colombia
319,Daniel ,Torres,Midfielder,16,Colombia
320,Macnelly ,Torres,Midfielder,16,Colombia
321,Johnny ,Acosta,Defender,17,Costa Rica
322,Esteban ,Alvarado,Goalkeeper,17,Costa Rica
323,Randall ,Azofeifa Corrales,Midfielder,17,Costa Rica
324,Cristian ,Bolanos Navarro,Midfielder,17,Costa Rica
325,Celso ,Borges,Midfielder,17,Costa Rica
326,Francisco ,Calvo,Defender,17,Costa Rica
327,Joel ,Campbell,Forward,17,Costa Rica
328,Oscar ,Duarte,Defender,17,Costa Rica
329,Cristian ,Gamboa,Defender/Midfielder,17,Costa Rica
330,Giancarlo ,Gonzalez,Defender,17,Costa Rica
331,David ,Guzman,Midfielder,17,Costa Rica
332,Ronald ,Matarrita,Midfielder ,17,Costa Rica
333,Allan ,Miranda Albertazzi,Midfielder,17,Costa Rica
334,Keylor ,Navas,Goalkeeper,17,Costa Rica
335,Bryan ,Oviedo,Defender/Midfielder,17,Costa Rica
336,Patrick ,Pemberton,Goalkeeper,17,Costa Rica
337,Bryan ,Ruiz,Midfielder/Forward,17,Costa Rica
338,Yendrick ,Ruiz,Forward,17,Costa Rica
339,Jose ,Salvatierra,Defender,17,Costa Rica
340,Yeltsin ,Tejeda,Midfielder,17,Costa Rica
341,Marco ,Urena,Forward,17,Costa Rica
342,Johan ,Venegas,Forward,17,Costa Rica
343,Rodney ,Wallace,Midfielder,17,Costa Rica
344,Kendall ,Waston,Defender,17,Costa Rica
345,Dairon ,Blanco,Midfielder,18,Cuba
346,Roberney ,Caballero,Midfielder,18,Cuba
347,Duxney ,Espinoza,Forward,18,Cuba
348,Carlos Domingo ,Francisco,Defender,18,Cuba
349,Eddy ,Gelkis Olivares Ibáñez,Forward,18,Cuba
350,Alberto ,Gomez,Midfielder,18,Cuba
351,Arichel ,Hernandez,Midfielder ,18,Cuba
352,Yasmani ,Lopez,Defender,18,Cuba
353,Daniel ,Luis Saez,Midfielder ,18,Cuba
354,Yaisnier ,Napoles,Defender ,18,Cuba
355,Roberto ,Peraza,Midfielder,18,Cuba
356,Yosel ,Piedra,Defender,18,Cuba
357,Maikel ,Reyes,Forward ,18,Cuba
358,Sandy ,Sanchez,Goalkeeper ,18,Cuba
359,David ,Urgelles,Defender ,18,Cuba
360,Peter ,Ankersen,Defender,20,Denmark
361,Andreas ,Christensen,Defender,20,Denmark
362,Andreas ,Cornelius,Forward,20,Denmark
363,Thomas ,Delaney,Midfielder,20,Denmark
364,Riza ,Durmisi,Defender,20,Denmark
365,Christian ,Eriksen,Midfielder,20,Denmark
366,Viktor ,Fischer,Midfielder/Forward,20,Denmark
367,Pierre-Emile ,Hojbjerg,Midfielder,20,Denmark
368,Mathias ,Jorgensen,Defender,20,Denmark
369,Nicolai ,Jorgensen,Forward,20,Denmark
370,Simon ,Kjaer,Defender,20,Denmark
371,William ,Kvist,Midfielder,20,Denmark
372,Jens Stryger ,Larsen,Defender,20,Denmark
373,Yussuf ,Poulsen,Forward,20,Denmark
374,Frederik Riss ,Ronnow,Goalkeeper,20,Denmark
375,Kasper ,Schmeichel,Goalkeeper,20,Denmark
376,Pione ,Sisto,Midfielder,20,Denmark
377,Jannik ,Vestergaard,Defender,20,Denmark
378,Daniel ,Wass,Defender,20,Denmark
379,Gabriel ,Achilier,Defender,21,Ecuador
380,Michael ,Arroyo,Midfielder,21,Ecuador
381,Jaime ,Ayovi,Forward,21,Ecuador
382,Walter ,Ayovi,Defender/Midfielder,21,Ecuador
383,Miller ,Bolanos,Midfielder,21,Ecuador
384,Felipe ,Caicedo,Forward,21,Ecuador
385,Luis ,Caicedo,Midfielder,21,Ecuador
386,Juan ,Cazares,Midfielder,21,Ecuador
387,Alexander ,Dominguez,Goalkeeper,21,Ecuador
388,Esteban ,Dreer,Goalkeeper,21,Ecuador
389,Fernando ,Gaibor,Midfielder,21,Ecuador
390,Carlos ,Gruezo,Midfielder,21,Ecuador
391,Renato ,Ibarra,Midfielder/Forward,21,Ecuador
392,Fidel ,Martinez,Midfielder,21,Ecuador
393,Ángel ,Mena,Midfielder,21,Ecuador
394,Arturo ,Mina Meza,Defender,21,Ecuador
395,Jefferson ,Montero,Midfielder/Forward,21,Ecuador
396,Christian ,Noboa,Midfielder,21,Ecuador
397,Jefferson ,Orejuela,Midfielder,21,Ecuador
