teamA,teamB,matchDate,matchVenue
Australia,New Zealand,06 June 1993,"Olympic Park, Melbourne"
USA,Brazil,06 June 1993,NEW HAVEN CONNECTICUT
Peru,Bolivia,06 June 1993,LIMA
USA,Romania,06 February 1993,"Harder SANTA BARBARA, CA"
Peru,Paraguay,05 September 1993,LIMA
Estonia,Portugal,05 September 1993,"Kadriorg, Tallinn"
Ecuador,Uruguay,05 September 1993,GUAYAQUIL
Argentina,Colombia,05 September 1993,BUENOS AIRES
Brazil,Venezuela,05 September 1993,BELO HORIZONTE
Honduras,Panama,05 March 1993,"Estadio Nacional, Tegucigalpa"
USA,El Salvador,05 December 1993,Mision Viejo CALIFORNIA
Japan,Ivory Coast,04 October 1993,"Yoyoki National Stadium, Tokyo"
Argentina,Mexico,04 July 1993,Monumental
Jamaica,Costa Rica,04 July 1993,KINGSTON
Estonia,Lithuania,04 July 1993,Kalev PARNU
Zambia,Morocco,04 July 1993,"Independence Stadium, Lusaka"
Cameroon,Romania,04 February 1993,MADRAS
Honduras,Canada,04 April 1993,"Estadio Nacional, Tegucigalpa"
El Salvador,Mexico,04 April 1993,"Estadio Cuscatlán, San Salvador"
Mexico,China PR,03 November 1993,SAN DIEGO
USA,Canada,03 March 1993,COSTA MESA
Paraguay,Bolivia,03 March 1993,ASUNCION
Ecuador,Colombia,03 July 1993,"Reales Tamarindos, Portoviejo"
Peru,Romania,03 February 1993,"Nacional, Lima"
Honduras,Mexico,02 May 1993,"Estadio Nacional, Tegucigalpa"
El Salvador,Canada,02 May 1993,"Estadio Cuscatlán, San Salvador"
Lithuania,Spain,02 June 1993,VILNIUS
Sweden,Israel,02 June 1993,"Rasunda, Solna"
Scotland,Estonia,02 June 1993,"Pittodrie, Aberdeen"
Oman,Iran,02 July 1993,"Al Abbasiyyin Stadium, Damascus"
Colombia,Paraguay,02 August 1993,BARRANQUILLA
Switzerland,Italy,01 May 1993,"Stade de Suisse, Berne"
Argentina,Colombia,01 July 1993,Monumental
Venezuela,Brazil,01 August 1993,SAN CRISTOBAL
Peru,Argentina,01 August 1993,LIMA
Uruguay,Ecuador,01 August 1993,"Estadio Centenario, Montevideo"
Japan,Argentina,31 May 1992,TOKYO
Mexico,Brazil,31 July 1992,LOS ANGELES
USA,Colombia,31 July 1992,LOS ANGELES
Iran,Korea DPR,30 October 1992,Bingo Sports Complex ONOMICHI
Japan,United Arab Emirates,30 October 1992,Bingo Sports Complex ONOMICHI
USA,Republic of Ireland,30 May 1992,"Robert F Kennedy, Washington DC"
Germany,Turkey,30 May 1992,Parkstadion GELSENKIRCHEN
Netherlands,Wales,30 May 1992,"Galgenwaard, Utrecht"
Honduras,Panama,30 June 1992,"Francisco Morazan, San Pedro Sula"
South Africa,Zambia,30 August 1992,"Soccer City, Johannesburg"
Uruguay,Brazil,30 April 1992,"Estadio Centenario, Montevideo"
Korea Republic,Japan,29 September 1992,Beijing
Costa Rica,Mexico,29 November 1992,SAN JOSE
Australia,Sweden,29 January 1992,"Hindmarsh Stadium, Adelaide"
United Arab Emirates,Switzerland,29 January 1992,"Al Shabab, Dubai"
Korea Republic,Japan,29 August 1992,Beijing
Ukraine,Hungary,29 April 1992,UZHGOROD
Austria,Wales,29 April 1992,"Praterstadion, Wien"
Republic of Ireland,USA,29 April 1992,"Lansdowne Road, Dublin"
Austria,Israel,28 October 1992,"Ernst Happel Stadion, Wien"
Saudi Arabia,Bahrain,28 November 1992,"Khalifa Bin Hamad Stadium, Doha"
Honduras,Panama,28 June 1992,"Estadio Nacional, Tegucigalpa"
Northern Ireland,Lithuania,28 April 1992,Windsor Park
Switzerland,Bulgaria,28 April 1992,"Stade de Suisse, Berne"
Switzerland,France,27 May 1992,"Stade Olympique de la Pontaise, Lausanne"
Costa Rica,Ecuador,27 May 1992,SAN JOSE
Sweden,Hungary,27 May 1992,"Rasunda, Solna"
Netherlands,Austria,27 May 1992,De Baandert SITTARD
Trinidad and Tobago,Jamaica,27 June 1992,PORT OF SPAIN
USA,Ukraine,27 June 1992,PISCATAWAY NEW JERSEY
Brazil,Uruguay,26 November 1992,Ernani Satiro
Denmark,Germany,26 June 1992,"Nya Ullevi, Goteborg"
El Salvador,Mexico,26 July 1992,SAN SALVADOR
Honduras,Guatemala,26 July 1992,"Estadio Nacional, Tegucigalpa"
Ghana,Ivory Coast,26 January 1992,"Stade de l'Amitie, Dakar"
Tunisia,Belgium,26 February 1992,"Stade Olympique d'El Menzah, Tunis"
Brazil,USA,26 February 1992,"Estadio Castelao, Fortaleza"
Japan,Korea DPR,26 August 1992,"Workers Stadium, Beijing"
Hungary,Ukraine,26 August 1992,Varosi Stadion NYIREGYHAZA
Turkey,Bulgaria,26 August 1992,Trabzon
Romania,Mexico,26 August 1992,Steaua BUCURESTI
France,Brazil,26 August 1992,"Parc Des Princes, Paris"
El Salvador,Canada,25 October 1992,SAN SALVADOR
Czechoslovakia,England,25 March 1992,Stadion Evaena Roaickaho
France,Belgium,25 March 1992,"Parc Des Princes, Paris"
Hungary,Austria,25 March 1992,"Nepstadion, Budapest"
Republic of Ireland,Switzerland,25 March 1992,"Lansdowne Road, Dublin"
Scotland,Finland,25 March 1992,"Hampden Park, Glasgow"
Italy,Germany,25 March 1992,Delle Alpi
Netherlands,Yugoslavia,25 March 1992,AMSTERDAM
Uruguay,Guatemala,25 July 1992,"Estadio Centenario, Montevideo"
Ivory Coast,Egypt,25 July 1992,Abidjan
Australia,Sweden,25 January 1992,"Football Stadium, Sydney"
Honduras,Jamaica,24 September 1992,"Francisco Morazan, San Pedro Sula"
Algeria,United Arab Emirates,24 November 1992,"Stade du 5 Juillet 1962, Algiers"
Peru,Ecuador,24 November 1992,LIMA
Guatemala,Ecuador,24 May 1992,Estadio Nacional Mateo Flores
Trinidad and Tobago,Cuba,24 June 1992,TRINIDAD
China PR,Japan,24 August 1992,Beijing
Lithuania,Denmark,23 September 1992,"Zalgiris, Vilnius"
Hungary,Israel,23 September 1992,"Ulloi ut, Budapest"
Tunisia,Algeria,23 September 1992,"Stade Olympique d'El Menzah, Tunis"
Brazil,Costa Rica,23 September 1992,PARANAVI
Uruguay,Argentina,23 September 1992,"Estadio Centenario, Montevideo"
Cameroon,Egypt,23 July 1992,YAOUNDE
Ivory Coast,Cameroon,23 January 1992,"Stade de l'Amitie, Dakar"
Costa Rica,Panama,23 August 1992,SAN JOSE
Honduras,Jamaica,22 September 1992,"Estadio Nacional, Tegucigalpa"
Japan,Korea Republic,22 September 1992,Beijing
Jamaica,El Salvador,22 November 1992,"National Stadium, Kingston"
Mexico,Costa Rica,22 November 1992,MEXICO CITY
Denmark,Netherlands,22 June 1992,"Nya Ullevi, Goteborg"
Jamaica,Cuba,22 June 1992,KINGSTON
Japan,Korea Republic,22 August 1992,"Workers Stadium, Beijing"
Czechoslovakia,Germany,22 April 1992,Strahov PRAHA
Tunisia,Sweden,22 April 1992,"Stade Olympique d'El Menzah, Tunis"
Canada,Scotland,21 May 1992,"Varsity Stadium, Toronto"
Sweden,Germany,21 June 1992,"Rasunda, Solna"
Uruguay,Australia,21 June 1992,MONTEVIDEO
Saudi Arabia,Argentina,20 October 1992,"King Fahd International Stadium, Riyadh"
Romania,Wales,20 May 1992,Steaua BUCURESTI
Cameroon,Egypt,20 July 1992,YAOUNDE
Ivory Coast,Zambia,20 January 1992,"Stade de l'Amitie, Dakar"
Tunisia,Morocco,20 December 1992,"Stade Olympique d'El Menzah, Tunis"
Uruguay,Germany,20 December 1992,"Estadio Centenario, Montevideo"
Ghana,Algeria,20 December 1992,Accra
USA,Ivory Coast,19 October 1992,"King Fahd International Stadium, Riyadh"
Bahrain,Algeria,19 May 1992,BAHRAIN
Guatemala,Honduras,19 July 1992,Estadio Nacional Mateo Flores
England,France,19 February 1992,Wembley Stadium
Republic of Ireland,Wales,19 February 1992,Royal Society Showground
Scotland,Northern Ireland,19 February 1992,"Hampden Park, Glasgow"
Bulgaria,Mexico,19 August 1992,"Vasil Levski, Sofia"
Czechoslovakia,Austria,19 August 1992,"Tehelne Pole Stadion, Bratislava"
Egypt,Saudi Arabia,18 September 1992,Aleppo
Jamaica,Canada,18 October 1992,"National Stadium, Kingston"
Northern Ireland,Denmark,18 November 1992,Windsor Park
England,Turkey,18 November 1992,Wembley Stadium
Germany,Austria,18 November 1992,NURNBERG
Scotland,Italy,18 November 1992,"Ibrox Stadium, Glasgow"
Spain,Republic of Ireland,18 November 1992,"Estadio Sanchez Pizjuan, Sevilla"
Belgium,Wales,18 November 1992,"Constant Vanden Stock, Anderlecht"
Morocco,USA,18 March 1992,Casablanca
Netherlands,Germany,18 June 1992,"Nya Ullevi, Goteborg"
Argentina,Australia,18 June 1992,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires"
Honduras,El Salvador,17 September 1992,"Francisco Morazan, San Pedro Sula"
England,Brazil,17 May 1992,Wembley Stadium
USA,Scotland,17 May 1992,Mile High DENVER
France,Denmark,17 June 1992,"Stadion Malmo, Malmo"
Sweden,England,17 June 1992,"Rasunda, Solna"
Egypt,Ghana,17 January 1992,Aline Sitoe Diatta
Argentina,Ivory Coast,16 October 1992,"King Fahd International Stadium, Riyadh"
Turkey,Netherlands,16 December 1992,IZMIR
Brazil,Germany,16 December 1992,Estadio Beira-Rio
Jamaica,Trinidad and Tobago,16 August 1992,"National Stadium, Kingston"
Estonia,Switzerland,16 August 1992,"Kadriorg, Tallinn"
Panama,Costa Rica,16 August 1992,"Estadio Rommel Fernandez, Panama City"
Saudi Arabia,USA,15 October 1992,"King Fahd International Stadium, Riyadh"
Mexico,Honduras,15 November 1992,"Azteca Stadium, Mexico City"
Scotland,Germany,15 June 1992,"Idrottsparken, Norrkoping"
Portugal,Spain,15 January 1992,TORRES NOVAS
Zambia,Ghana,15 January 1992,Aline Sitoe Diatta
Brazil,Finland,15 April 1992,CUIABA
Northern Ireland,Spain,14 October 1992,Windsor Park
Italy,Switzerland,14 October 1992,"Sant'Elia, Cagliari"
France,Austria,14 October 1992,"Parc Des Princes, Paris"
Denmark,Republic of Ireland,14 October 1992,"Idraetsparken, Copenhagen"
Scotland,Portugal,14 October 1992,"Ibrox Stadium, Glasgow"
Germany,Mexico,14 October 1992,DRESDEN
Belgium,Romania,14 October 1992,"Constant Vanden Stock, Anderlecht"
Slovakia,Lithuania,14 October 1992,BRATISLAVA
Romania,Czechoslovakia,14 November 1992,Steaua BUCURESTI
France,Finland,14 November 1992,"Parc Des Princes, Paris"
Finland,Bulgaria,14 May 1992,"Olympiastadion, Helsinski"
France,England,14 June 1992,"Stadion Malmo, Malmo"
Sweden,Denmark,14 June 1992,"Rasunda, Solna"
USA,Australia,14 June 1992,"Citrus Bowl, Orlando"
Austria,Lithuania,14 April 1992,Wien
El Salvador,Honduras,13 September 1992,SAN SALVADOR
Greece,Iceland,13 May 1992,Athens
Canada,Hong Kong,13 June 1992,"Varsity Stadium, Toronto"
Algeria,Ivory Coast,13 January 1992,Aline Sitoe Diatta
Egypt,Zambia,13 January 1992,Aline Sitoe Diatta
Honduras,Mexico,13 December 1992,"Estadio Nacional, Tegucigalpa"
Korea Republic,Australia,13 August 1992,JAKARTA
Hungary,England,12 May 1992,"Nepstadion, Budapest"
Netherlands,Scotland,12 June 1992,"Nya Ullevi, Goteborg"
Cameroon,Morocco,12 January 1992,"Stade de l'Amitie, Dakar"
Greece,Romania,12 February 1992,YANNINA
Portugal,Netherlands,12 February 1992,Faro
Turkey,Finland,12 February 1992,Adana 5 Ocak Stadium
Honduras,El Salvador,12 August 1992,LOS ANGELES
Portugal,Bulgaria,11 November 1992,"St Ouen, Paris"
Greece,Hungary,11 November 1992,SALONIKA
Israel,Sweden,11 November 1992,"Ramat Gan Stadium, Tel Aviv"
Spain,USA,11 March 1992,VALLADOLID
Denmark,England,11 June 1992,"Stadion Malmo, Malmo"
South Africa,Cameroon,11 July 1992,"Soccer City, Johannesburg"
Lithuania,Estonia,11 July 1992,Daugava
Mexico,El Salvador,10 November 1992,LOS ANGELES
Sweden,France,10 June 1992,"Rasunda, Solna"
Bulgaria,France,09 September 1992,"Vasil Levski, Sofia"
Switzerland,Scotland,09 September 1992,SURSEE
Netherlands,Italy,09 September 1992,"Philips Stadium, Eindhoven"
Finland,Sweden,09 September 1992,"Olympiastadion, Helsinski"
Denmark,Germany,09 September 1992,"Idraetsparken, Copenhagen"
Spain,England,09 September 1992,"El Sardinero, Santander"
Palestine,Saudi Arabia,09 September 1992,DAMASCUS
USA,Canada,09 October 1992,GREENSBORO N CAROLINA
South Africa,Cameroon,09 July 1992,Goodwood Showground
United Arab Emirates,Oman,09 December 1992,"Khalifa Bin Hamad Stadium, Doha"
Iceland,Israel,09 August 1992,"Laugardalsvollur, Reykyavik"
Canada,El Salvador,08 November 1992,"Stade Swangard, Burnaby"
Japan,Saudi Arabia,08 November 1992,Park Main HIROSHIMA
Costa Rica,Honduras,08 November 1992,Estadio Ricardo Saprissa SAN JOSE
Morocco,Egypt,08 November 1992,Casablanca
Israel,Iceland,08 April 1992,"Ramat Gan Stadium, Tel Aviv"
Turkey,Denmark,08 April 1992,Ataturk ANKARA
Sweden,Bulgaria,07 October 1992,"Rasunda, Solna"
Iceland,Greece,07 October 1992,"Laugardalsvollur, Reykyavik"
Mexico,El Salvador,07 October 1992,"Coliseum Stadium, Los Angeles"
Tunisia,Finland,07 November 1992,"Stade Olympique d'El Menzah, Tunis"
Japan,Wales,07 June 1992,MATSUYAMA JAPAN
Republic of Ireland,Portugal,07 June 1992,"Foxboro, Boston"
South Africa,Cameroon,07 July 1992,Kings Park Stadium
Honduras,Colombia,07 July 1992,"Estadio Nacional, Tegucigalpa"
Bahrain,Oman,07 December 1992,"Khalifa Bin Hamad Stadium, Doha"
Saudi Arabia,Cameroon,06 October 1992,RIYADH
Japan,China PR,06 November 1992,Park Main HIROSHIMA
El Salvador,Jamaica,06 December 1992,"Estadio Cuscatlán, San Salvador"
Ecuador,Costa Rica,06 August 1992,Monumental
France,Netherlands,05 June 1992,"Stade Felix-Bollaert, Lens"
Trinidad and Tobago,Jamaica,05 July 1992,"Queens Park Oval, Port of Spain"
Honduras,Costa Rica,05 December 1992,"Estadio Nacional, Tegucigalpa"
Iran,Cameroon,04 October 1992,TEHRAN
Republic of Ireland,Italy,04 June 1992,"Foxboro, Boston"
Uruguay,Ecuador,04 July 1992,MONTEVIDEO
Egypt,Czechoslovakia,04 January 1992,CAIRO
Bahrain,United Arab Emirates,04 December 1992,"Khalifa Bin Hamad Stadium, Doha"
Oman,Saudi Arabia,04 December 1992,"Khalifa Bin Hamad Stadium, Doha"
USA,China PR,04 April 1992,Stanford PALO ALTO
Canada,USA,03 September 1992,"Canada Games Stadium, St Johns"
Japan,Iran,03 November 1992,Park Main HIROSHIMA
USA,Portugal,03 June 1992,"Soldier Field, Chicago"
Finland,England,03 June 1992,"Olympiastadion, Helsinski"
Hungary,Iceland,03 June 1992,"Nepstadion, Budapest"
Argentina,Wales,03 June 1992,GIFU JAPAN
Czechoslovakia,Belgium,02 September 1992,Stadion Evaena Roaickaho
Austria,Portugal,02 September 1992,LINZ
Iran,Cameroon,02 October 1992,TEHRAN
United Arab Emirates,Iceland,02 March 1992,DUBAI
Germany,Northern Ireland,02 June 1992,Weserstadion BREMEN
Australia,Sweden,02 February 1992,"Olympic Park, Melbourne"
Israel,Bulgaria,02 December 1992,"Ramat Gan Stadium, Tel Aviv"
Guatemala,Jamaica,02 December 1992,Estadio Nacional Mateo Flores
USA,Brazil,02 August 1992,LOS ANGELES
Mexico,Colombia,02 August 1992,LOS ANGELES
Uruguay,Costa Rica,02 August 1992,"Estadio Centenario, Montevideo"
Canada,Jamaica,01 November 1992,"Varsity Stadium, Toronto"
United Arab Emirates,Iran,01 November 1992,Park Main HIROSHIMA
Japan,Korea DPR,01 November 1992,Park Main HIROSHIMA
Brazil,Yugoslavia,30 October 1991,Dilzon Melo
Greece,Finland,30 October 1991,Athens
Mexico,Canada,30 June 1991,"Coliseum Stadium, Los Angeles"
Honduras,Jamaica,30 June 1991,"Coliseum Stadium, Los Angeles"
Australia,Czechoslovakia,30 January 1991,"Olympic Park, Melbourne"
Honduras,Guatemala,29 May 1991,SAN JOSE
Brazil,Bulgaria,29 May 1991,Joao Havelange
Costa Rica,Guatemala,29 June 1991,"Rose Bowl, Los Angeles"
USA,Trinidad and Tobago,29 June 1991,"Rose Bowl, Los Angeles"
Mexico,Colombia,29 January 1991,LEON
Honduras,Canada,28 June 1991,"Coliseum Stadium, Los Angeles"
Mexico,Jamaica,28 June 1991,"Coliseum Stadium, Los Angeles"
Ivory Coast,Morocco,28 July 1991,Felix Houphouet Boigny
Romania,USA,28 August 1991,BRASOV
Iran,Algeria,27 September 1991,TEHRAN
Tunisia,Ivory Coast,27 November 1991,"Stade Olympique d'El Menzah, Tunis"
Mexico,Costa Rica,27 November 1991,LOS ANGELES
England,Republic of Ireland,27 March 1991,Wembley Stadium
Germany,USSR,27 March 1991,"Waldstadion, Frankfurt"
Tunisia,Turkey,27 March 1991,"Stade Olympique d'El Menzah, Tunis"
Yugoslavia,Northern Ireland,27 March 1991,"JNA Stadion, Belgrade"
Scotland,Bulgaria,27 March 1991,"Hampden Park, Glasgow"
Spain,Hungary,27 March 1991,"El Sardinero, Santander"
Belgium,Wales,27 March 1991,"Constant Vanden Stock, Anderlecht"
Morocco,Greece,27 March 1991,"Complexe Sportif Moulay Abdallah, Rabat"
Argentina,Brazil,27 March 1991,BUENOS AIRES
Brazil,Argentina,27 June 1991,Pinheirao
Japan,Korea Republic,27 July 1991,Sports Complex NAGASAKI
Turkey,Yugoslavia,27 February 1991,Kemal Ataturk SMYRNA
Brazil,Paraguay,27 February 1991,Estadio Pedro Pedrossian
England,Iceland,27 April 1991,Vicarage Road
Guatemala,El Salvador,26 May 1991,SAN JOSE
Costa Rica,Honduras,26 May 1991,SAN JOSE
Egypt,Tunisia,26 July 1991,"National, Cairo"
Morocco,Algeria,26 December 1991,Casablanca
Bulgaria,Italy,25 September 1991,"Vasil Levski, Sofia"
USSR,Hungary,25 September 1991,MOSKVA
Iceland,Spain,25 September 1991,"Laugardalsvollur, Reykyavik"
England,Argentina,25 May 1991,Wembley Stadium
Costa Rica,Colombia,25 June 1991,SAN JOSE
Ecuador,Peru,25 June 1991,Monumental
Japan,Korea Republic,25 July 1991,NAKASAKI
Tunisia,Cameroon,25 December 1991,"Stade Olympique d'El Menzah, Tunis"
USA,Costa Rica,24 November 1991,Texas Stadium DALLAS
Egypt,Romania,24 December 1991,PORT SAID
Argentina,USSR,23 May 1991,Old Trafford
Hungary,Zambia,23 January 1991,"Trivandrum International Stadium, Kariavattom"
Greece,Portugal,23 January 1991,Athens
Mexico,Uruguay,21 November 1991,VERACRUZ
England,USSR,21 May 1991,Wembley Stadium
Argentina,Colombia,21 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
Egypt,Romania,21 December 1991,CAIRO
Czechoslovakia,Switzerland,21 August 1991,Strahov PRAHA
Bulgaria,Turkey,21 August 1991,Beroe Stara Zagora
Bulgaria,Romania,20 November 1991,"Vasil Levski, Sofia"
France,Iceland,20 November 1991,"Parc Des Princes, Paris"
Portugal,Greece,20 November 1991,"Estadio da Luz, Lisbon"
Belgium,Germany,20 November 1991,"Constant Vanden Stock, Anderlecht"
Uruguay,Peru,20 June 1991,"Estadio Centenario, Montevideo"
Mexico,Colombia,20 January 1991,LEON
Argentina,Hungary,20 February 1991,ROSARIO
France,Spain,20 February 1991,"Parc Des Princes, Paris"
USA,Korea DPR,19 October 1991,"Robert F Kennedy, Washington DC"
USA,Argentina,19 May 1991,Stanford PALO ALTO
Honduras,Panama,19 May 1991,"Francisco Morazan, San Pedro Sula"
Brazil,Colombia,19 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
USSR,China PR,19 January 1991,"Trivandrum International Stadium, Kariavattom"
Zambia,Romania,18 January 1991,"Trivandrum International Stadium, Kariavattom"
Brazil,Czechoslovakia,18 December 1991,Serra Dourada
Iceland,Turkey,17 July 1991,"Laugardalsvollur, Reykyavik"
Brazil,Argentina,17 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
Ivory Coast,Cameroon,17 February 1991,DAKAR
USSR,USA,17 August 1991,MOSKVA
Costa Rica,Mexico,17 April 1991,SAN JOSE
Hungary,USSR,17 April 1991,"Nepstadion, Budapest"
Brazil,Romania,17 April 1991,do cafe LONDRINA
Netherlands,Finland,17 April 1991,"de Kuip Feyenoord, Rotterdam"
Spain,Romania,17 April 1991,CACERES
Greece,Sweden,17 April 1991,AEK Athens
Northern Ireland,Austria,16 October 1991,Windsor Park
England,Turkey,16 October 1991,Wembley Stadium
Romania,Scotland,16 October 1991,Steaua BUCURESTI
Germany,Wales,16 October 1991,"Frankenstadion, Nurnberg"
Netherlands,Portugal,16 October 1991,"de Kuip Feyenoord, Rotterdam"
USA,Canada,16 March 1991,El Camino TORRANCE
USSR,Italy,16 June 1991,"Rasunda, Solna"
Korea Republic,Egypt,16 June 1991,"Olympic Stadium, Seoul"
Paraguay,Bolivia,16 June 1991,ASUNCION
Zambia,China PR,16 January 1991,"Trivandrum International Stadium, Kariavattom"
Spain,Portugal,16 January 1991,"Castalia Stadium, Castellon"
Estonia,Lithuania,15 November 1991,Kretinga
Australia,New Zealand,15 May 1991,"Hindmarsh Stadium, Adelaide"
Sweden,Denmark,15 June 1991,"Idrottsparken, Norrkoping"
Brazil,Ecuador,15 July 1991,Sausalito VINA DEL MAR
Uruguay,Colombia,15 July 1991,Sausalito VINA DEL MAR
Cameroon,Algeria,15 February 1991,DAKAR
USA,Jamaica,14 September 1991,HIGH POINT SOUTH CAROLINA
Costa Rica,Uruguay,14 May 1991,SAN JOSE
Mexico,Canada,14 March 1991,"Coliseum Stadium, Los Angeles"
Egypt,USSR,14 June 1991,SEOUL
Korea Republic,Australia,14 June 1991,"Olympic Stadium, Seoul"
Bolivia,Paraguay,14 June 1991,"Estadio Ramon Tahuichi Aguilera, Santa Cruz"
Argentina,Peru,14 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
Hungary,USSR,14 January 1991,"Trivandrum International Stadium, Kariavattom"
Tunisia,Egypt,14 April 1991,"Stade Olympique d'El Menzah, Tunis"
Algeria,Iran,13 October 1991,"Stade du 5 Juillet 1962, Algiers"
Romania,Switzerland,13 November 1991,Steaua BUCURESTI
Austria,Yugoslavia,13 November 1991,"Praterstadion, Wien"
Denmark,Northern Ireland,13 November 1991,"Odense Stadion, Odense"
Spain,Czechoslovakia,13 November 1991,"Estadio Sanchez Pizjuan, Sevilla"
Turkey,Republic of Ireland,13 November 1991,"Besiktas Inonu Stadyumu, Istanbul"
Argentina,Mexico,13 March 1991,"Velez Sarsfield, BUENOS AIRES"
Sweden,USSR,13 June 1991,"Nya Ullevi, Goteborg"
Ecuador,Bolivia,13 July 1991,Sausalito VINA DEL MAR
Brazil,Colombia,13 July 1991,Sausalito VINA DEL MAR
Morocco,Ivory Coast,13 January 1991,"Complexe Sportif Moulay Abdallah, Rabat"
USSR,Italy,12 October 1991,MOSKVA
Spain,France,12 October 1991,"Benito Villamarin, Seville"
New Zealand,Australia,12 May 1991,"Queen Elizabeth II Park, Christchurch"
Panama,Honduras,12 May 1991,"Estadio Rommel Fernandez, Panama City"
USA,Mexico,12 March 1991,"Coliseum Stadium, Los Angeles"
Denmark,Italy,12 June 1991,"Stadion Malmo, Malmo"
Korea Republic,Australia,12 June 1991,POHANG
Peru,Uruguay,12 June 1991,"Nacional, Lima"
Argentina,Paraguay,12 July 1991,Estadio Regional
Peru,Venezuela,12 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
Hungary,China PR,12 January 1991,"Trivandrum International Stadium, Kariavattom"
Italy,Belgium,12 February 1991,Libero Liberati TERNI
England,Germany,11 September 1991,Wembley Stadium
Switzerland,Scotland,11 September 1991,"Stade de Suisse, Berne"
Hungary,Republic of Ireland,11 September 1991,Raba Eto GYOR
Portugal,Finland,11 September 1991,Porto
Wales,Brazil,11 September 1991,"Cardiff Arms Park, Cardiff"
Colombia,Bolivia,11 July 1991,Sausalito VINA DEL MAR
Brazil,Uruguay,11 July 1991,Sausalito VINA DEL MAR
USSR,Zambia,11 January 1991,"Trivandrum International Stadium, Kariavattom"
Costa Rica,Guatemala,10 November 1991,SAN JOSE
USSR,Korea Republic,10 June 1991,TAEGU
Paraguay,Venezuela,10 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
Hungary,Belgium,09 October 1991,Szekesfehervar
Austria,Denmark,09 October 1991,"Praterstadion, Wien"
Finland,Greece,09 October 1991,"Olympiastadion, Helsinski"
Switzerland,Sweden,09 October 1991,"Herti Allmend Stadion, Zug"
Brazil,Bolivia,09 July 1991,Sausalito VINA DEL MAR
Uruguay,Ecuador,09 July 1991,Sausalito VINA DEL MAR
Denmark,Bulgaria,09 April 1991,"Odense Stadion, Odense"
Australia,USSR,08 June 1991,Suwon World Cup Stadium
New Zealand,England,08 June 1991,"Athletic Park, Wellington"
Argentina,Venezuela,08 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
El Salvador,Hungary,08 December 1991,"Estadio Cuscatlán, San Salvador"
Czechoslovakia,Yugoslavia,08 August 1991,Mario Puchoz AOSTA
Mexico,Uruguay,07 May 1991,LOS ANGELES
Korea Republic,Egypt,07 June 1991,"Olympic Stadium, Seoul"
Uruguay,Bolivia,07 July 1991,Playa Ancha VALPARAISO
Colombia,Ecuador,07 July 1991,Playa Ancha VALPARAISO
USA,Honduras,07 July 1991,"Coliseum Stadium, Los Angeles"
Mexico,Costa Rica,07 July 1991,"Coliseum Stadium, Los Angeles"
Tunisia,Algeria,07 April 1991,"Stade Olympique d'El Menzah, Tunis"
Korea Republic,USA,07 April 1991,POHANG
Sweden,Colombia,06 June 1991,"Rasunda, Solna"
Peru,Ecuador,06 June 1991,"Nacional, Lima"
Paraguay,Peru,06 July 1991,"Estadio Nacional Julio Martínez Prádanos, Santiago De Chile"
England,Cameroon,06 February 1991,Wembley Stadium
Wales,Republic of Ireland,06 February 1991,"Racecourse Ground, Wrexham"
Scotland,USSR,06 February 1991,"Ibrox Stadium, Glasgow"
USA,Uruguay,05 May 1991,Mile High DENVER
Algeria,Tunisia,05 March 1991,"Stade du 5 Juillet 1962, Algiers"
Finland,Netherlands,05 June 1991,"Olympiastadion, Helsinski"
Denmark,Austria,05 June 1991,"Odense Stadion, Odense"
Iceland,Czechoslovakia,05 June 1991,"Laugardalsvollur, Reykyavik"
Wales,Germany,05 June 1991,"Cardiff Arms Park, Cardiff"
Honduras,Costa Rica,05 July 1991,"Coliseum Stadium, Los Angeles"
USA,Mexico,05 July 1991,"Coliseum Stadium, Los Angeles"
Czechoslovakia,France,04 September 1991,"Tehelne Pole Stadion, Bratislava"
Sweden,Yugoslavia,04 September 1991,"Rasunda, Solna"
Portugal,Austria,04 September 1991,Porto
Iceland,Denmark,04 September 1991,"Laugardalsvollur, Reykyavik"
Spain,Uruguay,04 September 1991,Carlos Tartiere OVIEDO
Turkey,USA,04 September 1991,"Besiktas Inonu Stadyumu, Istanbul"
Australia,Czechoslovakia,04 February 1991,SYDNEY
Greece,Netherlands,04 December 1991,Toumbas Stadium
Mexico,Hungary,04 December 1991,LEON
New Zealand,England,03 June 1991,"Mount Smart Stadium, Auckland"
Canada,Jamaica,03 July 1991,"Coliseum Stadium, Los Angeles"
Guatemala,Trinidad and Tobago,03 July 1991,"Coliseum Stadium, Los Angeles"
Mexico,Honduras,03 July 1991,"Coliseum Stadium, Los Angeles"
USA,Costa Rica,03 July 1991,"Coliseum Stadium, Los Angeles"
