id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
9454,59,68,368,,FIFA World Cup,68,1,2,1981-10-10
9455,68,59,2259,,International Friendly,68,2,1,1990-04-03
9456,59,68,910,,UEFA European Championship,,1,1,2016-06-15
9457,71,59,96,,International Friendly,,2,2,1923-10-26
9458,59,71,673,,International Friendly,71,1,2,1925-05-01
9459,71,59,96,,International Friendly,59,1,3,1926-05-07
9460,71,59,96,,UEFA European Championship,71,2,0,1959-04-26
9461,71,59,513,,International Friendly,,0,0,1963-10-09
9462,71,59,513,,FIFA World Cup,71,2,1,1965-10-23
9463,59,71,368,,*,,0,0,1971-03-20
9464,71,59,1257,,International Friendly,,1,1,1975-03-19
9465,59,71,368,,International Friendly,,2,2,1975-10-12
9466,59,71,2291,,Balkan Cup,59,4,0,1977-03-23
9467,71,59,96,,Balkan Cup,,1,1,1978-03-22
9468,71,59,811,,International Friendly,,1,1,1983-01-29
9469,71,59,1949,,International Friendly,59,1,3,1987-03-04
9470,72,59,1835,,Cyprus International Tournament,59,0,1,2001-02-26
9471,74,59,1589,,FIFA World Cup,74,4,0,1930-07-21
9472,59,74,368,,International Friendly,59,1,0,1966-06-19
9473,74,59,1589,,International Friendly,,1,1,1967-01-04
9474,59,75,194,,International Friendly,75,0,2,1991-08-28
9475,75,59,625,,International Friendly,,1,1,1993-02-06
9476,59,75,598,,Carlsberg,59,2,1,1994-02-13
9477,60,59,770,,International Friendly,,1,1,1957-06-01
9478,60,59,1407,,International Friendly,60,2,0,1973-04-18
9479,59,60,368,,International Friendly,,2,2,1975-11-29
9480,59,60,368,,International Friendly,60,0,1,1978-05-14
9481,60,59,770,,International Friendly,60,3,1,1979-10-14
9482,78,59,240,,UEFA European Championship,,0,0,1970-11-11
9483,59,78,368,,UEFA European Championship,59,2,0,1971-11-24
9484,59,78,2291,,FIFA World Cup,59,5,1,1992-05-20
9485,79,59,852,,King Alex Cup,59,1,2,1922-06-08
9486,59,79,536,,King Alex Cup,79,0,3,1927-05-10
9487,59,79,174,,King Alex Cup,79,2,3,1929-05-10
9488,79,59,1608,,Balkan Cup,79,3,1,1932-07-03
9489,59,79,1922,,Balkan Cup,79,0,2,1935-06-17
9490,59,79,65,,King Carol Cup,59,3,2,1936-05-10
9491,79,59,1608,,International Friendly,79,2,1,1937-09-06
9492,79,59,1608,,International Friendly,,1,1,1938-09-06
9493,59,79,977,,Balkan Cup,59,2,1,1946-10-11
9494,59,79,1451,,Balkan Cup,79,1,3,1947-06-22
9495,59,79,368,,FIFA World Cup,,1,1,1957-09-29
9496,79,59,2346,,International Friendly,,1,1,1969-09-03
9497,59,79,368,,International Friendly,,0,0,1970-05-06
9498,79,59,496,,International Friendly,59,0,1,1971-04-21
9499,79,59,1533,,FIFA World Cup,59,0,2,1977-05-08
9500,59,79,2291,,FIFA World Cup,79,4,6,1977-11-13
9501,79,59,361,,Balkan Cup,79,2,0,1980-03-30
9502,2,62,752,,International Friendly,,1,1,1977-06-18
9503,7,62,2125,,UEFA European Championship,7,3,0,1971-02-03
9504,62,7,1221,,UEFA European Championship,62,1,0,1971-11-10
9505,7,62,1975,,International Friendly,7,2,1,1974-06-01
9506,62,9,516,,UEFA European Championship,62,1,0,1999-10-05
9507,10,62,2154,,Independence,10,1,0,1972-07-05
9508,62,10,1193,,International Friendly,10,0,1,1973-06-30
9509,10,62,1323,,FIFA World Cup,,0,0,1974-06-18
9510,10,62,2154,,International Friendly,10,2,0,1977-06-23
9511,62,11,1193,,International Friendly,62,2,1,1978-02-22
9512,62,19,2224,,Independence,,0,0,1972-07-02
9513,62,19,1193,,FIFA World Cup,62,2,1,1973-09-26
9514,19,62,424,,FIFA World Cup,19,1,0,1973-10-17
9515,19,62,1246,,FIFA World Cup,19,2,0,1976-10-13
9516,62,19,1193,,FIFA World Cup,62,3,1,1977-09-21
9517,62,20,1193,,UEFA European Championship,62,1,0,1970-11-11
9518,20,62,1072,,UEFA European Championship,20,1,0,1971-06-09
9519,20,62,1072,,FIFA World Cup,62,1,4,1972-10-18
9520,62,20,1193,,FIFA World Cup,62,2,0,1972-11-15
9521,20,62,1072,,UEFA European Championship,62,0,1,1975-09-03
9522,62,20,1193,,UEFA European Championship,62,3,1,1975-10-29
9523,62,24,1193,,British Championships,,0,0,1970-04-25
9524,24,62,1240,,British Championships,24,3,1,1971-05-22
9525,62,24,1193,,British Championships,24,0,1,1972-05-27
9526,62,24,1193,,Centenary Match,24,0,5,1973-02-14
9527,24,62,1240,,British Championships,24,1,0,1973-05-19
9528,62,24,1193,,British Championships,62,2,0,1974-05-18
9529,24,62,1240,,British Championships,24,5,1,1975-05-24
9530,62,24,1193,,British Championships,62,2,1,1976-05-15
9531,24,62,1240,,British Championships,62,1,2,1977-06-04
9532,62,24,1193,,British Championships,24,0,1,1978-05-20
9533,62,26,1193,,International Friendly,62,6,0,1976-09-08
9534,62,28,1193,,International Friendly,,1,1,1973-11-14
9535,28,62,1323,,International Friendly,28,2,1,1974-03-27
